year,proceeding_link,paper_link,title,authors,abstract
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/01882513d5fa7c329e940dda99b12147-Abstract.html,SIMPLIFYING NEURAL NETS BY DISCOVERING FLAT MINIMA,"Sepp Hochreiter, Jürgen Schmidhuber","We present a new algorithm for finding low complexity networks  with high generalization capability. The algorithm searches for  large connected regions of so-called ''fiat'' minima of the error func(cid:173) tion. In the weight-space environment of a ""flat"" minimum, the  error remains approximately constant. Using an MDL-based ar(cid:173) gument, flat minima can be shown to correspond to low expected  overfitting. Although our algorithm requires the computation of  second order derivatives, it has backprop's order of complexity.  Experiments with feedforward and recurrent nets are described. In  an application to stock market prediction, the method outperforms  conventional backprop, weight decay, and ""optimal brain surgeon"" ."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/024d7f84fff11dd7e8d9c510137a2381-Abstract.html,A Model of the Neural Basis of the Rat's Sense of Direction,"William E. Skaggs, James J. Knierim, Hemant S. Kudrimoti, Bruce L. McNaughton","In  the last decade  the outlines  of the neural  structures  subserving  the sense of direction have begun to emerge.  Several investigations  have shed  light on  the effects  of vestibular  input  and visual  input  on  the  head  direction  representation.  In  this  paper,  a  model  is  formulated of the neural mechanisms underlying the head direction  system.  The model is  built out of simple ingredients,  depending  on  nothing  more complicated than  connectional  specificity,  attractor  dynamics,  Hebbian  learning,  and  sigmoidal  nonlinearities,  but  it  behaves  in  a  sophisticated  way  and  is  consistent  with  most of the  observed properties ofreal head direction cells.  In addition it makes  a  number  of predictions  that  ought  to  be  testable  by  reasonably  straightforward experiments. 
1  Head  Direction  Cells  in  the Rat 
There  is  quite  a  bit  of  behavioral  evidence  for  an  intrinsic  sense  of  direction  in  many species  of mammals, including  rats  and  humans  (e.g.,  Gallistel,  1990).  The  first  specific  information regarding  the  neural  basis  of this  ""sense""  came with  the  discovery  by  Ranck  (1984)  of a  population  of  ""head  direction""  cells  in  the  dorsal  presubiculum (also known as the  ""postsubiculum"") of the rat.  A head direction cell 
174 
William  Skaggs,  James  J.  Knierim,  Hemant  S. Kudrimoti,  Bruce L.  McNaughton 
fires  at  a  high  rate  if and  only  if the rat's  head  is  oriented  in  a  specific  direction.  Many  things  could  potentially  cause  a  cell  to  fire  in  a  head-direction  dependent  manner:  what made the postsubicular  cells  particularly interesting  was  that when  their directionality was tested with the rat at different locations, the head directions  corresponding to maximal firing  were  consistently parallel, within the experimental  resolution.  This  is  difficult  to  explain  with  a  simple sensory-based  mechanism;  it  implies something more sophisticated.1 
The  postsubicular  head  direction  cells  were  studied  in  depth  by  Taube  et  al.  (1990a,b),  and,  more  recently,  head  direction  cells  have  also  been  found  in  other  parts of the rat brain,  in  particular  the anterior nuclei  of the  thalamus (Mizumori  and  Williams,  1993)  and  the  retrosplenial  (posterior  cingulate)  cortex  (Chen  et  al.,  1994a,b).  Interestingly,  all  of these  areas  are  intimately  associated  with  the  hippocampal  formation,  which  in  the  rat  contains  large numbers  of  ""place""  cells.  Thus,  the  brain  contains  separate  but  neighboring  populations  of cells  coding  for  location and  cells  coding for  direction,  which taken together  represent  much of the  information needed  for  navigation. 
Figure  1 shows  directional  tuning curves  for  three  typical head  direction cells from  the  anterior  thalamus.  In each  of them the  breadth  of tuning is  on the order of 90  degrees.  This value is  also typical for  head direction cells in the postsubiculum and  retrosplenial  cortex,  though  in  each  of the  three  areas  individual  cells  may  show  considerable variability. 
Figure  1:  Polar plots  of directional  tuning  (mean firing  rate  as  a  function  of head  direction)  for  three  typical head  direction  cells from the anterior thalamus of a  rat. 
Every study  to date has indicated that the head  direction cells  constitute a unitary  system,  together  with  the  place  cells  of  the  hippocampus.  Whenever  two  head  direction  cells  have  been  recorded  simultaneously,  any  manipulation  that  caused  one of them to shift its directional  alignment caused the other to shift by  the same  amount;  and  when  head  direction  cells  have  been  recorded  simultaneously  with  place  cells,  any  manipulation that caused  the head  direction  cells  to  realign either  caused  the hippocampal place fields  to rotate correspondingly or  to  ""remap"" into a  different  pattern  (Knierim  et  al.,  1995). 
Head direction cells  maintain their directional tuning for  some time when  the lights  in  the recording  room are  turned  off,  leaving  an  animal in  complete  darkness;  the  directionality tends to gradually drift, though, especially if the animal moves around  (Mizumori and Williams, 1993).  Directional tuning is preserved to some degree even 
1 Sensitivity  to  the  Earth's  geomagnetic  field  has  been  ruled  out  as  an  explanation  of 
head-directional  firing . 
A Model of the  Neural Basis of the Rat's Sense of Direction 
175 
if an animal is  passively rotated in the dark, which indicates strongly that the head  direction system receives information (possibly indirect) from the vestibular system. 
Visual  input  influences  but  does  not  dictate  the  behavior  of head  direction  cells.  The  nature  of this  influence is  quite  interesting.  In  a  recent  series  of experiments  (Knierim  et  al.,  1995), rats were trained to forage for  food pellets in a gray cylinder  with  a  single salient  directional  cue,  a  white card  covering  90  degrees  of the  wall.  During  training,  half of the  rats were  disoriented  before  being  placed  in the  cylin(cid:173) der,  in  order  to  disrupt  the  relation  between  their  internal  sense  of direction  and  the  location  of the  cue  card;  the  other  half of the rats  were  not  disoriented.  Pre(cid:173) sumably,  the  rats  that were  not  disoriented  during  training  experienced  the same  initial relationship between their internal direction sense and the CUe card each time  they  were  placed  in  the  cylinder;  this  would  not have  been  true of the disoriented  rats.  Head  direction  cells  in  the  thalamus were  subsequently  recorded  from  both  groups of rats  as  they  moved  in  the cylinder.  All rats  were  disoriented  before  each  recording  session.  Under  these  conditions,  the  cue  card  had  much  weaker  control  over  the  head  direction  cells  in  the  rats  that had  been  disoriented  during training  than in  the  rats  that had not been  disoriented.  For  all rats the influence of the cue  card upon the head direction system weakened gradually over the course of multiple  recording  sessions,  and eventually they  broke free,  but this happened  much sooner  in  the rats  that had been  disoriented  during training.  The authors  concluded  that  a  visual  cue  could  only  develop  a  strong  influence  upon  the  head  direction  system  if  the  rat  experienced  it  as  stable. 
Figure 2 illustrates the shifts in  alignment during a typical recording session.  When  the  rat  is  initially placed  in  the  cylinder,  the  cell's  tuning  curve  is  aligned  to  the  west.  Over the first few  minutes of recording it gradually rotates to SSW, and there  it stays.  Note  the  ""tail"" of the curve.  This comes from spikes belonging to another,  neighboring head  direction cell, which could  not be perfectly isolated from the first.  Note that, even though they come from different cells,  both portions shift alignment  synchronously. 
Figure  2:  Shifts  in  alignment  of  a  head  direction  cell  over  the  course  of a  single  recording session  (one  minute intervals)."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/03e0704b5690a2dee1861dc3ad3316c9-Abstract.html,A Mixture Model System for Medical and Machine Diagnosis,"Magnus Stensmo, Terrence J. Sejnowski",Diagnosis of human disease or machine fault is a missing data problem  since many variables are initially unknown. Additional information needs  to be obtained. The j oint probability distribution of the data can be used to  solve this problem. We model this with mixture models whose parameters  are estimated by the EM algorithm.  This gives the benefit that missing  data in the database itself can also be handled correctly.  The request for  new information to refine the diagnosis is performed using the maximum  utility  principle.  Since  the  system  is  based  on  learning  it  is  domain  independent and less labor intensive than expert systems or probabilistic  networks.  An example using a heart disease database is presented.
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/043c3d7e489c69b48737cc0c92d0f3a2-Abstract.html,Learning with Preknowledge: Clustering with Point and Graph Matching Distance Measures,"Steven Gold, Anand Rangarajan, Eric Mjolsness","Prior constraints are imposed upon a learning problem in the form  of distance measures. Prototypical 2-D point sets and graphs are  learned by clustering with point matching and graph matching dis(cid:173) tance measures. The point matching distance measure is approx.  invariant under affine transformations - translation, rotation, scale  and shear - and permutations. It operates between noisy images  with missing and spurious points. The graph matching distance  measure operates on weighted graphs and is invariant under per(cid:173) mutations. Learning is formulated as an optimization problem .  Large objectives so formulated ('"" million variables) are efficiently  minimized using a combination of optimization techniques - alge(cid:173) braic transformations, iterative projective scaling, clocked objec(cid:173) tives, and deterministic annealing."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/061412e4a03c02f9902576ec55ebbe77-Abstract.html,Learning Local Error Bars for Nonlinear Regression,"David A. Nix, Andreas S. Weigend","We  present a  new  method for  obtaining  local  error bars for  nonlinear  regression,  i.e.,  estimates of the confidence in predicted values that de(cid:173) pend on the input.  We approach this problem by applying a maximum(cid:173) likelihood framework to an assumed distribution of errors.  We demon(cid:173) strate our method first on computer-generated data with locally varying,  normally distributed target noise.  We then apply it to laser data from the  Santa Fe  Time  Series Competition where the underlying system noise is  known quantization error and the error bars give local estimates of model  misspecification.  In  both  cases,  the method also provides a  weighted(cid:173) regression effect that improves generalization performance. 
1  Learning Local Error Bars Using a Maximum Likelihood 
Framework:  Motivation, Concept, and Mechanics 
Feed-forward artificial neural networks used for nonlinear regression can be interpreted as  predicting the  mean of the  target distribution as  a function  of (conditioned on)  the  input  pattern (e.g., Buntine & Weigend, 1991; Bishop, 1994), typically using one linear output unit  per output variable. If parameterized, this conditional target distribution (CID) may also be 
·http://www.cs.colorado.edu/~andreas/Home.html. 
This  paper  is  available  with  figures  in  colors  as  ftp://ftp.cs.colorado.edu/pub/  Time-Series/MyPapers/nix.weigenCLnips7.ps.Z  . 
490 
David A.  Nix,  Andreas S.  Weigend 
viewed as an error model (Rumelhart et al.,  1995).  Here, we present a simple method that  provides higher-order information about the cm than simply the mean.  Such additional  information could come from  attempting  to  estimate  the  entire cm with  connectionist  methods (e.g., ""Mixture Density Networks,"" Bishop, 1994; ""fractional binning, ""Srivastava  & Weigend,  1994) or with non-connectionist methods such as  a Monte Carlo on a hidden  Markov model (Fraser & Dimitriadis, 1994). While non-parametric estimates of the shape  of a  C1D require large quantities of data,  our less data-hungry method (Weigend & Nix,  1994) assumes a specific parameterized form of the C1D (e.g., Gaussian) and gives us the  value of the error bar (e.g., the width of the Gaussian) by finding those parameters which  maximize the likelihood that the target data was generated by a particular network model.  In this paper we derive the specific update rules for the Gaussian case.  We  would like to  emphasize, however, that any parameterized unimodal distribution can be used for the em  in the method presented here. 
j------------,  I  I------T-------,  ,  I  A  I  A2,.  )  o y(x)  0  cr IX  /\  i  '."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/07871915a8107172b3b5dc15a6574ad3-Abstract.html,Reinforcement Learning Methods for Continuous-Time Markov Decision Problems,"Steven J. Bradtke, Michael O. Duff","Semi-Markov  Decision  Problems  are  continuous  time  generaliza(cid:173) tions  of discrete  time  Markov  Decision  Problems.  A  number  of  reinforcement  learning  algorithms  have  been  developed  recently  for  the  solution  of Markov  Decision  Problems,  based on  the ideas  of asynchronous dynamic programming and stochastic approxima(cid:173) tion.  Among these  are TD(,x), Q-Iearning,  and Real-time Dynamic  Programming.  After  reviewing  semi-Markov  Decision  Problems  and Bellman's optimality equation in  that context,  we  propose al(cid:173) gorithms similar  to those  named above,  adapted to the solution  of  semi-Markov Decision  Problems.  We demonstrate these algorithms  by  applying  them to the  problem of determining  the  optimal con(cid:173) trol for  a  simple  queueing  system.  We  conclude  with  a  discussion  of circumstances  under which these  algorithms may be usefully  ap(cid:173) plied."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/08fe2621d8e716b02ec0da35256a998d-Abstract.html,Connectionist Speaker Normalization with Generalized Resource Allocating Networks,"Cesare Furlanello, Diego Giuliani, Edmondo Trentin","The paper presents  a  rapid speaker-normalization technique based  on  neural  network  spectral  mapping.  The  neural  network  is  used  as a front-end  of a  continuous speech  recognition system  (speaker(cid:173) dependent,  HMM-based) to normalize the input acoustic data from  a  new  speaker.  The  spectral  difference  between  speakers  can  be  reduced  using  a  limited amount  of new  acoustic  data (40  phonet(cid:173) ically  rich  sentences).  Recognition  error  of phone  units  from  the  acoustic-phonetic  continuous  speech  corpus  APASCI  is  decreased  with an adaptability ratio of 25%.  We used  local basis networks of  elliptical  Gaussian  kernels,  with  recursive  allocation  of units  and  on-line  optimization of parameters  (GRAN model).  For  this  ap(cid:173) plication,  the  model included  a  linear  term.  The results  compare  favorably  with  multivariate linear  mapping based  on  constrained  orthonormal transformations."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/0a113ef6b61820daa5611c870ed8d5ee-Abstract.html,A Novel Reinforcement Model of Birdsong Vocalization Learning,"Kenji Doya, Terrence J. Sejnowski","Songbirds learn to imitate a tutor song through auditory and motor learn(cid:173) ing.  We  have developed a theoretical framework  for song learning that  accounts  for response properties of neurons that have been  observed in  many  of the nuclei  that are involved in  song learning.  Specifically,  we  suggest that the anteriorforebrain pathway, which is not needed for song  production  in  the  adult  but is  essential  for  song  acquisition,  provides  synaptic perturbations and adaptive evaluations for syllable vocalization  learning.  A computer model based on reinforcement learning was  con(cid:173) structed  that could replicate a real  zebra finch  song with 90% accuracy  based on a spectrographic measure.  The second generation of the bird(cid:173) song model replicated the tutor song with 96% accuracy."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/0b8aff0438617c055eb55f0ba5d226fa-Abstract.html,"Bias, Variance and the Combination of Least Squares Estimators",Ronny Meir,"We consider the effect of combining several least squares estimators  on  the expected  performance of a  regression  problem.  Computing  the exact bias and  variance curves  as  a function of the sample size  we  are able to quantitatively compare the effect of the combination  on the bias and variance separately, and thus on the expected  error  which  is  the sum of the  two.  Our exact  calculations,  demonstrate  that the combination of estimators is particularly useful  in the case  where the data set is small and noisy and the function to be learned  is  unrealizable.  For  large  data sets  the  single  estimator produces  superior  results.  Finally,  we  show  that  by  splitting  the  data set  into  several  independent  parts  and  training  each  estimator  on  a  different subset,  the performance can in some cases  be significantly  improved. 
Key  words:  Bias,  Variance,  Least  Squares,  Combination."
1994,https://papers.nips.cc/paper_files/paper/1994,https://papers.nips.cc/paper_files/paper/1994/hash/0d0871f0806eae32d30983b62252da50-Abstract.html,Hierarchical Mixtures of Experts Methodology Applied to Continuous Speech Recognition,"Ying Zhao, Richard M. Schwartz, Jason J. Sroka, John Makhoul","In  this  paper,  we  incorporate  the  Hierarchical  Mixtures  of Experts  (HME)  method  of probability  estimation,  developed  by  Jordan  [1],  into  an  HMM(cid:173) based  continuous  speech  recognition  system.  The  resulting  system  can  be  thought of as a continuous-density HMM system, but instead of using gaussian  mixtures,  the HME system employs a large set of hierarchically organized but  relatively  small  neural  networks  to  perform the probability density estimation.  The  hierarchical  structure  is  reminiscent  of  a  decision  tree  except  for  two  important differences:  each  ""expert"" or neural  net  performs a  ""soft"" decision  rather than a hard decision, and,  unlike ordinary decision trees,  the parameters  of all  the  neural  nets  in  the  HME  are  automatically  trainable  using  the  EM  algorithm.  We  report results on  the ARPA  5,OOO-word  and 4O,OOO-word Wall  Street Journal  corpus using  HME  models."
